Tamanio,Promedio(ns)
10,0
20,1010
30,1035
40,2046
50,3546
60,3052
70,4780
80,4518
90,7538
100,7514
110,9757
120,10963
130,12105
140,12187
150,16091
160,16795
170,19357
180,21311
190,22475
200,26576
210,31720
220,32851
230,33047
240,36730
250,41729
260,41498
270,46705
280,48739
290,49787
300,52917
310,61903
320,62952
330,66525
340,74609
350,80051
360,83670
370,84465
380,97885
390,98451
400,102720
410,95309
420,100955
430,111861
440,114685
450,120213
460,129611
470,131485
480,144641
490,146838
500,149576
510,168961
520,167820
530,156734
540,140336
550,141276
560,137178
570,145844
580,153960
590,164845
600,155221
610,173173
620,167624
630,178868
640,191606
650,184403
660,195998
670,181852
680,195816
690,218322
700,250762
710,211878
720,360234
730,237689
740,235945
750,246737
760,250824
770,252359
780,262373
790,265482
800,273150
810,289919
820,273688
830,289082
840,305912
850,304694
860,318785
870,320723
880,326425
890,355895
900,337565
910,378208
920,360412
930,378588
940,418194
950,382690
960,391954
970,392992
980,421086
990,409541
1000,464322
