Tamanio,Promedio(ns)
10,999
20,1520
30,1000
40,4521
50,3092
60,4624
70,6206
80,8634
90,10016
100,10910
110,14093
120,16610
130,18764
140,20351
150,24655
160,26200
170,27603
180,31753
190,35047
200,38381
210,42182
220,46293
230,45223
240,52277
250,58809
260,60313
270,68558
280,69680
290,74422
300,82139
310,83924
320,88172
330,109795
340,97226
350,103832
360,106844
370,116208
380,123377
390,127359
400,135438
410,143283
420,148142
430,152534
440,160829
450,164565
460,171924
470,180940
480,184707
490,189395
500,202642
510,211401
520,207940
530,208810
540,221379
550,233002
560,239088
570,248943
580,256339
590,264467
600,273613
610,301777
620,294093
630,289536
640,316242
650,319960
660,325543
670,331889
680,346757
690,361470
700,368139
710,372890
720,381077
730,481422
740,393753
750,420245
760,438291
770,432663
780,461955
790,469650
800,471198
810,490098
820,504200
830,507604
840,524065
850,536251
860,551637
870,560092
880,571869
890,582202
900,605269
910,615027
920,627558
930,649592
940,650037
950,659781
960,672594
970,700032
980,698968
990,718848
1000,729794
