Tamanio,Promedio(ns)
10,1000
20,1001
30,1020
40,2023
50,4511
60,2520
70,3998
80,4979
90,4919
100,3998
110,6507
120,7497
130,9595
140,11557
150,11987
160,9053
170,9694
180,13257
190,13545
200,16674
210,17255
220,13662
230,17086
240,16782
250,18914
260,19051
270,20492
280,23151
290,27230
300,25054
310,25393
320,26796
330,28545
340,26315
350,32995
360,29079
370,29746
380,33353
390,33911
400,37670
410,34335
420,37837
430,39279
440,37828
450,40771
460,41058
470,39287
480,45295
490,46865
500,48033
510,51415
520,44702
530,55180
540,51689
550,51462
560,53439
570,58721
580,56733
590,55009
600,59804
610,63138
620,58652
630,61757
640,70897
650,62316
660,73478
670,68096
680,63500
690,67092
700,71109
710,70620
720,75732
730,75649
740,69667
750,77516
760,77318
770,90481
780,90811
790,79587
800,85325
810,80159
820,87152
830,86102
840,85065
850,84895
860,88691
870,86173
880,90402
890,91868
900,99848
910,96891
920,104293
930,111571
940,99187
950,93969
960,108689
970,101376
980,102599
990,101641
1000,101204
