Tamanio,Promedio(ns)
10,2478
20,5311
30,5907
40,6533
50,6503
60,10047
70,11619
80,10700
90,12879
100,14282
110,16833
120,19593
130,19766
140,21331
150,24805
160,25248
170,30291
180,28545
190,29036
200,29762
210,36689
220,33330
230,36505
240,44546
250,39603
260,44348
270,42494
280,42207
290,49923
300,48809
310,52775
320,53391
330,57180
340,53645
350,58796
360,59125
370,61013
380,64890
390,62679
400,65288
410,72910
420,71509
430,73720
440,75123
450,77587
460,78940
470,84846
480,83910
490,81022
500,83167
510,87613
520,89896
530,92805
540,97180
550,99511
560,95824
570,105903
580,99642
590,104790
600,107113
610,106182
620,112926
630,107663
640,112841
650,116975
660,121456
670,120498
680,122356
690,121226
700,130814
710,122003
720,121107
730,130533
740,127580
750,130116
760,134413
770,142223
780,137022
790,148130
800,142978
810,146487
820,144960
830,161529
840,153051
850,153844
860,148779
870,158601
880,157119
890,159751
900,166216
910,170678
920,169935
930,172905
940,171465
950,174722
960,176690
970,169438
980,181318
990,176825
1000,180326
