Tamanio,Promedio(ns)
10,0
20,0
30,0
40,1048
50,1028
60,3011
70,4014
80,2537
90,3005
100,2011
110,3784
120,4528
130,5027
140,6089
150,8569
160,6784
170,9467
180,9511
190,9177
200,9634
210,11235
220,13780
230,14546
240,13291
250,13343
260,13345
270,14549
280,17967
290,16538
300,23022
310,17728
320,18038
330,17529
340,16960
350,18554
360,23787
370,18834
380,21173
390,25837
400,25419
410,22026
420,26902
430,26453
440,31540
450,29480
460,29430
470,27306
480,33887
490,34209
500,31677
510,30682
520,31329
530,31615
540,32718
550,33272
560,34088
570,33741
580,37680
590,35547
600,33432
610,34438
620,39702
630,38009
640,36992
650,38922
660,41678
670,41739
680,40145
690,42417
700,44270
710,48779
720,46676
730,47508
740,48137
750,48265
760,52182
770,51945
780,56242
790,151129
800,55689
810,51278
820,52015
830,57475
840,55676
850,56033
860,57238
870,58402
880,60536
890,61747
900,60884
910,61121
920,59187
930,58213
940,65629
950,61756
960,62987
970,65056
980,63204
990,63426
1000,66762
