Tamanio,Promedio(ns)
10,0
20,2033
30,1989
40,2000
50,2409
60,3996
70,5413
80,3042
90,6910
100,7834
110,8146
120,7976
130,10933
140,12356
150,11518
160,14322
170,13117
180,12980
190,17389
200,15775
210,18869
220,20195
230,17709
240,21148
250,25667
260,22677
270,26248
280,25903
290,27049
300,28929
310,29447
320,30685
330,29362
340,33880
350,32107
360,30118
370,36492
380,36630
390,38183
400,38856
410,38734
420,38014
430,50086
440,44861
450,47870
460,50987
470,51361
480,50207
490,49143
500,48756
510,54801
520,51465
530,55202
540,55338
550,55823
560,62214
570,55100
580,60856
590,59633
600,61529
610,62372
620,63903
630,55859
640,64022
650,68987
660,71646
670,68948
680,72354
690,70183
700,70913
710,74381
720,79096
730,78046
740,78945
750,81515
760,82445
770,82600
780,85974
790,86981
800,87630
810,85706
820,102088
830,94715
840,87042
850,93932
860,96077
870,89981
880,93737
890,101800
900,96375
910,103546
920,104784
930,101251
940,99889
950,106601
960,109943
970,112969
980,101772
990,118204
1000,111021
